Market,Bettor,Size ($),Odds (%),Direction,Insider Score (%),Key Factors,Posted (UTC),Link
"Russia x Ukraine ceasefire by March 31, 2026?",BaldCrackhead,104812,2.9,Yes,80.0,"['bet size $104,812 (very large)', 'extreme longshot (3% odds)', 'active on 2 geopolitical markets', '$203,531 total on geopolitical markets this session']",19:46 UTC,https://polymarket.com/event/russia-x-ukraine-ceasefire-by-march-31-2026
US x Iran ceasefire by March 15?,Ingg,90000,95.0,No,30.0,"['bet size $90,000 (very large)']",06:25 UTC,https://polymarket.com/event/us-x-iran-ceasefire-by
US x Iran ceasefire by March 15?,0x0277747fFd97B972cdDA44F9dD69076A5c5Ffe34-1767877343245,52505,5.7,Yes,74.0,"['bet size $52,505 (very large)', 'very low odds (6%)', 'unnamed/burner account (no profile)']",07:02 UTC,https://polymarket.com/event/us-x-iran-ceasefire-by
Will Kevin Warsh be confirmed as Fed Chair?,0x3f1DE22b0a6CF5e123a9AED358Ccd384A8F9564f-1773269108722,32450,5.7,No,68.0,"['bet size $32,450 (large)', 'very low odds (6%)', 'unnamed/burner account (no profile)']",23:05 UTC,https://polymarket.com/event/who-will-be-confirmed-as-fed-chair
Will the Iranian regime fall by March 31?,TrumpFollower752x,21127,5.9,Yes,50.0,"['bet size $21,127 (large)', 'very low odds (6%)']",23:51 UTC,https://polymarket.com/event/will-the-iranian-regime-fall-by-march-31
Will the Golden State Warriors win the NBA Western Conference Finals?,Harley392,8220,2.2,Yes,42.0,"['bet size $8,220', 'extreme longshot (2% odds)']",01:33 UTC,https://polymarket.com/event/nba-western-conference-champion-933
US x Iran ceasefire by March 15?,0x9AcF002F41978D12264EA5de32fd4A92e6Ef5EAE-1730838575208,7667,6.0,Yes,54.0,"['bet size $7,667', 'very low odds (6%)', 'unnamed/burner account (no profile)']",01:56 UTC,https://polymarket.com/event/us-x-iran-ceasefire-by
Will Iran strike Israel on March 10?,0x0a4a0FcD7267DA6BD049B2445D91b5E07bEBE049-1768249382109,7455,10.5,No,52.0,"['bet size $7,455', 'longshot — magamyman zone (10% odds)', 'unnamed/burner account (no profile)']",22:57 UTC,https://polymarket.com/event/iran-strikes-israel-on
US x Iran ceasefire by March 15?,treetopvision3,5455,6.0,Yes,36.0,"['bet size $5,455', 'very low odds (6%)']",23:38 UTC,https://polymarket.com/event/us-x-iran-ceasefire-by
Will the Golden State Warriors win the NBA Western Conference Finals?,carsonjeffery890,3957,2.2,Yes,37.0,"['bet size $3,957', 'extreme longshot (2% odds)']",04:55 UTC,https://polymarket.com/event/nba-western-conference-champion-933
US x Iran ceasefire by March 15?,fighterparallels,3833,6.0,Yes,31.0,"['bet size $3,833', 'very low odds (6%)']",23:38 UTC,https://polymarket.com/event/us-x-iran-ceasefire-by
"Houthi strike on Israel by March 6, 2026?",0x6D919DC76b665B688de5f637B212c0c214f97a49-1772151813957,3333,0.9,Yes,55.0,"['bet size $3,333', 'extreme longshot (1% odds)', 'unnamed/burner account (no profile)']",20:56 UTC,https://polymarket.com/event/houthi-strike-on-israel-by-632
Will the Iranian regime fall by March 31?,glowingorb,3333,5.5,Yes,31.0,"['bet size $3,333', 'very low odds (5%)']",22:48 UTC,https://polymarket.com/event/will-the-iranian-regime-fall-by-march-31
"Will Iran announce a new supreme leader on March 7, 2026?",glglglglgl,2903,0.2,Yes,37.0,"['bet size $2,903', 'extreme longshot (0% odds)']",23:58 UTC,https://polymarket.com/event/iran-announces-new-supreme-leader-on
Iran x Israel/US conflict ends by March 15?,0xb66b82A428eCB281cd6A891f678AB12272c2e5c9-1771521590108,2738,5.5,Yes,49.0,"['bet size $2,738', 'very low odds (5%)', 'unnamed/burner account (no profile)']",23:35 UTC,https://polymarket.com/event/iran-x-israelus-conflict-ends-by
Will Iran strike Israel on March 4?,0xd448281c9f1A26370c9680aF992F1561411a4175-1769548412810,2500,0.1,No,55.0,"['bet size $2,500', 'extreme longshot (0% odds)', 'unnamed/burner account (no profile)']",23:55 UTC,https://polymarket.com/event/iran-strikes-israel-on
Will Reza Pahlavi enter Iran by March 31?,0x5078A8CfeB25543Ef5427ea5F0a3f9B0A13F992C-1773241283120,2500,2.0,Yes,55.0,"['bet size $2,500', 'extreme longshot (2% odds)', 'unnamed/burner account (no profile)']",16:22 UTC,https://polymarket.com/event/will-reza-pahlavi-enter-iran-by-june-30
Will Iran strike Israel on March 10?,0xe0744af3,2410,20.7,No,33.0,"['bet size $2,410', 'below-market odds (21%)', 'unnamed/burner account (no profile)']",23:59 UTC,https://polymarket.com/event/iran-strikes-israel-on
Will the Iranian regime fall by March 31?,BriceStudio,2264,5.3,Yes,31.0,"['bet size $2,264', 'very low odds (5%)']",04:21 UTC,https://polymarket.com/event/will-the-iranian-regime-fall-by-march-31
"Will US or Israel strike Iran on March 8, 2026?",Therealsmurf,2257,0.2,No,35.0,"['bet size $2,257', 'extreme longshot (0% odds)']",20:47 UTC,https://polymarket.com/event/usisrael-strikes-iran-on
Will Iran close the Strait of Hormuz by March 31?,rickyvaughn,2222,2.5,No,37.0,"['bet size $2,222', 'extreme longshot (3% odds)']",21:57 UTC,https://polymarket.com/event/will-iran-close-the-strait-of-hormuz-by-2027
US x Iran ceasefire by March 15?,Zap2,2193,5.0,Yes,31.0,"['bet size $2,193', 'very low odds (5%)']",23:01 UTC,https://polymarket.com/event/us-x-iran-ceasefire-by
"Will Israel strike Gaza on March 7, 2026?",bova,2000,0.3,No,37.0,"['bet size $2,000', 'extreme longshot (0% odds)']",20:51 UTC,https://polymarket.com/event/will-israel-strike-gaza-on-339

